,index_x,page,country,rev_id,article_quality_estimate,index_y,FIPS,Name,Type,TimeFrame,Data (M),Population
650,38022.0,Franz Anton von Kolowrat-Liebsteinsky,Czech Republic,800883412,Start,,,,,,,
651,38071.0,Viktor Dyk,Czech Republic,800925236,C,,,,,,,
652,38072.0,Alois Jirásek,Czech Republic,800925518,C,,,,,,,
653,39399.0,"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",Czech Republic,801939668,Start,,,,,,,
654,39431.0,Adriana Krnáčová,Czech Republic,801972898,Start,,,,,,,
655,39470.0,Ondřej Liška,Czech Republic,802013967,Stub,,,,,,,
656,39509.0,Marcel Chládek,Czech Republic,802054500,Stub,,,,,,,
657,39510.0,Miroslava Kopicová,Czech Republic,802055280,Stub,,,,,,,
658,39511.0,Milan Chovanec,Czech Republic,802060218,Stub,,,,,,,
659,39512.0,František Bublan,Czech Republic,802060471,Stub,,,,,,,
660,39517.0,Jiří Dienstbier Jr.,Czech Republic,802069244,C,,,,,,,
661,39776.0,Táňa Fischerová,Czech Republic,802360196,C,,,,,,,
662,39781.0,Václav Jehlička,Czech Republic,802365998,Stub,,,,,,,
663,39833.0,Viliam Široký,Czech Republic,802416926,Stub,,,,,,,
664,40088.0,Miroslav Lidinský,Czech Republic,802531379,Start,,,,,,,
665,40444.0,Petr Cibulka,Czech Republic,802834939,Start,,,,,,,
666,40509.0,Anna Šabatová,Czech Republic,802875800,Stub,,,,,,,
667,40928.0,Adolph Aloys von Braun,Czech Republic,803332354,C,,,,,,,
668,41031.0,Dana Bérová,Czech Republic,803438779,Stub,,,,,,,
669,41239.0,František Palacký,Czech Republic,803658529,C,,,,,,,
670,41284.0,Miroslav Kostelka,Czech Republic,803709959,Stub,,,,,,,
671,41395.0,Martin Barták,Czech Republic,803793256,Stub,,,,,,,
672,41397.0,Karolína Peake,Czech Republic,803794383,Start,,,,,,,
673,41652.0,Petr Ježek,Czech Republic,803983301,Start,,,,,,,
674,41783.0,František Udržal,Czech Republic,804093764,Stub,,,,,,,
675,42383.0,Václav Havel,Czech Republic,804569724,C,,,,,,,
676,42399.0,Pavel Fischer,Czech Republic,804582256,Stub,,,,,,,
677,42414.0,Eva Tylová,Czech Republic,804591494,Stub,,,,,,,
678,42529.0,Dana Jurásková,Czech Republic,804715205,Stub,,,,,,,
679,42530.0,Svatopluk Němeček,Czech Republic,804715467,Stub,,,,,,,
680,42651.0,Richard Brabec,Czech Republic,804820949,Stub,,,,,,,
681,42703.0,Jan Fischer (politician),Czech Republic,804868436,C,,,,,,,
682,42705.0,Martin Pecina,Czech Republic,804869147,Stub,,,,,,,
683,42711.0,Vlasta Parkanová,Czech Republic,804871394,Stub,,,,,,,
684,42720.0,Martin Bursík,Czech Republic,804879673,Start,,,,,,,
685,43052.0,Lubomír Zaorálek,Czech Republic,805037426,Start,,,,,,,
686,43112.0,Radola Gajda,Czech Republic,805084705,C,,,,,,,
687,43251.0,Karel Schwarzenberg,Czech Republic,805176779,C,,,,,,,
688,43255.0,Vlasta Svobodová,Czech Republic,805179298,Stub,,,,,,,
689,43499.0,Ondřej Přikryl,Czech Republic,805352758,Start,,,,,,,
690,43626.0,Milada Horáková,Czech Republic,805439919,C,,,,,,,
691,44216.0,Martin Holcát,Czech Republic,805824502,Stub,,,,,,,
692,44404.0,Alena Dernerová,Czech Republic,805946007,Stub,,,,,,,
693,44552.0,Marian Jurečka,Czech Republic,806049453,Stub,,,,,,,
694,44604.0,Pavel Bělobrádek,Czech Republic,806085100,Stub,,,,,,,
695,44847.0,Dan Ťok,Czech Republic,806231200,Stub,,,,,,,
696,45274.0,Jiří Dienstbier,Czech Republic,806490518,Stub,,,,,,,
697,45311.0,Rudolf Slánský,Czech Republic,806504904,C,,,,,,,
698,45358.0,Alexandr Vondra,Czech Republic,806537585,C,,,,,,,
699,45361.0,Jaroslav Šedivý,Czech Republic,806538241,Stub,,,,,,,
700,45362.0,Cyril Svoboda,Czech Republic,806538320,C,,,,,,,
701,45365.0,Jan Kohout,Czech Republic,806539480,Stub,,,,,,,
702,45406.0,Miloš Vystrčil,Czech Republic,806558617,Stub,,,,,,,
703,45417.0,Alois Eliáš,Czech Republic,806566913,C,,,,,,,
704,45424.0,Jan Skopeček (politician),Czech Republic,806569308,Stub,,,,,,,
705,45443.0,Miloslav Ludvík,Czech Republic,806586185,Stub,,,,,,,
706,45504.0,Martin Kupka,Czech Republic,806636602,Stub,,,,,,,
707,45556.0,Matěj Stropnický,Czech Republic,806650264,Stub,,,,,,,
708,45590.0,Petr Šimerka,Czech Republic,806669645,Stub,,,,,,,
709,45591.0,Jaromír Drábek,Czech Republic,806669709,Stub,,,,,,,
710,45592.0,Ludmila Müllerová,Czech Republic,806669752,Stub,,,,,,,
711,45598.0,Jan Veleba (politician),Czech Republic,806672899,Stub,,,,,,,
712,45599.0,František Ringo Čech,Czech Republic,806673245,Stub,,,,,,,
713,45602.0,Michaela Marksová,Czech Republic,806673585,Stub,,,,,,,
714,45656.0,Robert Pelikán,Czech Republic,806708361,Stub,,,,,,,
715,45657.0,Karla Šlechtová,Czech Republic,806708532,Stub,,,,,,,
716,45675.0,Stanislav Gross,Czech Republic,806720477,C,,,,,,,
717,45689.0,Martin Stropnický,Czech Republic,806729653,Stub,,,,,,,
718,45734.0,Leoš Heger,Czech Republic,806751902,Stub,,,,,,,
719,45938.0,Bohuslav Svoboda,Czech Republic,806850638,Stub,,,,,,,
720,45992.0,Miroslava Němcová,Czech Republic,806876791,Stub,,,,,,,
721,46029.0,Zbyněk Stanjura,Czech Republic,806900987,Stub,,,,,,,
722,46133.0,Drahomíra Miklošová,Czech Republic,806988445,Stub,,,,,,,
723,46136.0,Václav Klaus Jr.,Czech Republic,806991412,C,,,,,,,
724,46236.0,Dominik Feri,Czech Republic,807058182,Start,,,,,,,
725,46306.0,Alexandra Udženija,Czech Republic,807102237,Stub,,,,,,,
726,46772.0,Ivan Pilný,Czech Republic,807333095,Stub,,,,,,,
727,46778.0,Marta Semelová,Czech Republic,807334610,Stub,,,,,,,
728,46780.0,Daniel Herman,Czech Republic,807334657,Start,,,,,,,
729,46819.0,Jan Hamáček,Czech Republic,807353609,Stub,,,,,,,
730,46840.0,Michal Horáček,Czech Republic,807358143,C,,,,,,,
731,46890.0,Václav Klaus,Czech Republic,807382193,C,,,,,,,
732,46922.0,Martin Kuba,Czech Republic,807394304,Stub,,,,,,,
733,46924.0,Martin Říman,Czech Republic,807394725,Stub,,,,,,,
734,46939.0,Kateřina Valachová,Czech Republic,807399097,Stub,,,,,,,
735,46989.0,Vladimír Tošovský,Czech Republic,807415625,Stub,,,,,,,
736,46990.0,Pavel Svoboda,Czech Republic,807416099,Start,,,,,,,
737,47002.0,Petr Fiala,Czech Republic,807420515,Start,,,,,,,
738,47135.0,Vladimír Špidla,Czech Republic,807462107,C,,,,,,,
9359,265.0,Timoteo Menéndez,Salvadoran,566504165,Stub,,,,,,,
9360,602.0,Joaquín Escolán y Balibrera,Salvadoran,679294949,Stub,,,,,,,
9361,1267.0,Fermín Palacios,Salvadoran,705353491,Stub,,,,,,,
9362,1268.0,Eugenio Aguilar,Salvadoran,705353565,Stub,,,,,,,
9363,1269.0,Tomás Medina,Salvadoran,705353584,Stub,,,,,,,
9364,1270.0,Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647,Stub,,,,,,,
9365,1271.0,Vicente Gómez,Salvadoran,705353678,Stub,,,,,,,
9366,1272.0,Lorenzo Zepeda,Salvadoran,705353843,Stub,,,,,,,
9367,1273.0,José María Peralta,Salvadoran,705353896,Stub,,,,,,,
9368,1274.0,Francisco Menéndez,Salvadoran,705353975,Stub,,,,,,,
9369,1275.0,Pedro José Escalón,Salvadoran,705354095,Stub,,,,,,,
9370,1276.0,Fernando Figueroa,Salvadoran,705354112,Stub,,,,,,,
9371,1277.0,Carlos Meléndez (politician),Salvadoran,705354212,Stub,,,,,,,
9372,1294.0,Fabio Castillo Figueroa,Salvadoran,705385310,Stub,,,,,,,
9373,1519.0,Ricardo Montenegro,Salvadoran,706769596,Stub,,,,,,,
9374,1652.0,Rafael Campo,Salvadoran,707399758,Start,,,,,,,
9375,1653.0,Miguel Santín del Castillo,Salvadoran,707400213,Stub,,,,,,,
9376,1654.0,Osmín Aguirre y Salinas,Salvadoran,707403482,Stub,,,,,,,
9377,1655.0,Eusebio Rodolfo Cordón Cea,Salvadoran,707404888,Stub,,,,,,,
9378,1670.0,Juan José Guzmán,Salvadoran,707519272,Stub,,,,,,,
9379,1749.0,Juan José Cañas,Salvadoran,708089470,Stub,,,,,,,
9380,2176.0,José Gregorio Salazar,Salvadoran,710543364,Start,,,,,,,
9381,2182.0,Diego Vigil Cocaña,Salvadoran,710555824,Start,,,,,,,
9382,2185.0,Nicolás Espinoza,Salvadoran,710578840,Start,,,,,,,
9383,2215.0,Pedro Barriere,Salvadoran,710677703,Start,,,,,,,
